аромат;english;ЦИТРУС;ЗЕЛЕНЬ · ТРАВЫ;ХОЛОД · КАМФОРА;ЦВЕТЫ;ФРУКТЫ · ЯГОДЫ;СЛАДКОЕ · ГУРМАН;ПРЯНОСТИ;ДЕРЕВО;СМОЛЫ · БАЛЬЗАМЫ;ДЫМ · ЗЕМЛЯ · МОХ;ЖИВОТНОЕ · КОЖА;МОРЕ · МИНЕРАЛ;сумма;комментарий Груши
бергамот;bergamot;0,70;0,10;;0,20;;;;;;;;;1,00;
лимон;lemon;0,90;0,10;;;;;;;;;;;1,00;
лайм;lime;0,85;0,15;;;;;;;;;;;1,00;
мандарин;mandarin;0,75;;;0,05;0,20;;;;;;;;1,00;
апельсин сладкий;sweet orange;0,75;;;;0,25;;;;;;;;1,00;
горький апельсин;bitter orange;0,70;0,10;;0,20;;;;;;;;;1,00;
грейпфрут;grapefruit;0,80;0,10;;;0,10;;;;;;;;1,00;
юдзу;yuzu;0,80;0,10;;;0,10;;;;;;;;1,00;
лемонграсс;lemongrass;0,60;0,30;;;;;0,10;;;;;;1,00;
литсея;litsea;0,70;0,10;;;0,20;;;;;;;;1,00;
цитронелла;citronella;0,60;0,30;;0,10;;;;;;;;;1,00;
мелисса;lemon balm;0,50;0,40;;0,10;;;;;;;;;1,00;
петитгрейн;petitgrain;0,40;0,40;;0,20;;;;;;;;;1,00;
вербена;verbena;0,60;0,30;;0,10;;;;;;;;;1,00;
базилик;basil;;0,60;0,10;;;;0,30;;;;;;1,00;
розмарин;rosemary;;0,50;0,30;;;;0,20;;;;;;1,00;
тимьян;thyme;;0,50;0,10;;;;0,40;;;;;;1,00;
шалфей;sage;;0,55;0,20;;;;;;;0,25;;;1,00;
мускатный шалфей;clary sage;;0,40;;0,30;;0,30;;;;;;;1,00;
лаванда;lavender;;0,40;0,20;0,40;;;;;;;;;1,00;
лавандин;lavandin;;0,50;0,30;0,20;;;;;;;;;1,00;
полынь;wormwood;;0,50;;;;;0,20;;;0,30;;;1,00;
эстрагон;tarragon;;0,50;;;;0,10;0,40;;;;;;1,00;
укроп;dill;;0,70;;;;;0,30;;;;;;1,00;
фенхель;fennel;;0,40;;;;0,10;0,50;;;;;;1,00;
гальбанум;galbanum;;0,80;;;;;;;0,20;;;;1,00;
фиалковый лист;violet leaf;;0,60;;0,20;;;;;;;;0,20;1,00;
томатный лист;tomato leaf;;0,80;;;0,20;;;;;;;;1,00;
чай зелёный;green tea;;0,50;;0,20;;;;;;0,30;;;1,00;
мате;mate;;0,60;;;;0,10;;;;0,30;;;1,00;
сено;hay;;0,40;;;;0,30;;;;0,30;;;1,00;
трава скошенная;cut grass;;0,90;;;;;;;;0,10;;;1,00;
ромашка;chamomile;;0,40;;0,40;0,20;;;;;;;;1,00;
иссоп;hyssop;;0,60;0,30;;;;0,10;;;;;;1,00;
майоран;marjoram;;0,60;0,10;;;;0,30;;;;;;1,00;
мята перечная;peppermint;;0,30;0,70;;;;;;;;;;1,00;
мята кудрявая;spearmint;;0,30;0,60;;;0,10;;;;;;;1,00;
эвкалипт;eucalyptus;;0,20;0,70;;;;;0,10;;;;;1,00;
чайное дерево;tea tree;;0,20;0,60;;;;;0,20;;;;;1,00;
каяпут;cajeput;;0,20;0,70;;;;0,10;;;;;;1,00;
равинцара;ravintsara;;0,10;0,70;;;;;0,20;;;;;1,00;
камфора;camphor;;;0,90;;;;;0,10;;;;;1,00;
пихта;fir;;0,20;0,40;;;;;0,40;;;;;1,00;
ель;spruce;;;0,30;;;;;0,50;0,20;;;;1,00;
сосна;pine;;;0,30;;;;;0,50;0,20;;;;1,00;
можжевельник;juniper;;;0,40;;;;0,20;0,40;;;;;1,00;
кипарис;cypress;;0,20;0,30;;;;;0,50;;;;;1,00;
роза;rose;;;;0,80;;0,10;0,10;;;;;;1,00;
жасмин;jasmine;;;;0,80;;;;;;;0,20;;1,00;
тубероза;tuberose;;;;0,70;;0,10;;;;;0,20;;1,00;
нероли;neroli;0,30;0,10;;0,60;;;;;;;;;1,00;
иланг-иланг;ylang-ylang;;;;0,70;0,10;;0,20;;;;;;1,00;
герань;geranium;0,10;0,30;;0,60;;;;;;;;;1,00;
фиалка;violet;;0,20;;0,60;;0,20;;;;;;;1,00;
ирис;orris;;;;0,50;;0,20;;0,30;;;;;1,00;
мимоза;mimosa;;0,20;;0,60;;0,20;;;;;;;1,00;
нарцисс;narcissus;;0,30;;0,60;;;;;;;0,10;;1,00;
османтус;osmanthus;;;;0,50;0,40;;;;;;0,10;;1,00;
